"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"163";161;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;2,447729;24;"2018-08-30 09:12:27"
"164";162;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;1,891172;16;"2018-08-30 09:12:28"
"165";163;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;1,935971;20;"2018-08-30 09:12:28"
"166";164;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;2,805243;24;"2018-08-30 09:12:36"
"167";165;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;3,318042;20;"2018-08-30 09:12:36"
"168";166;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;3,779537;16;"2018-08-30 09:12:36"
"169";167;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;3,993703;24;"2018-08-30 09:12:48"
"170";168;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;4,438022;20;"2018-08-30 09:12:49"
"171";169;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;3,679364;16;"2018-08-30 09:12:49"
"172";170;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;4,906036;24;"2018-08-30 09:13:05"
"173";171;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;4,906759;16;"2018-08-30 09:13:07"
"174";172;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;5,440807;20;"2018-08-30 09:13:07"
